college_team,college_conference,nfl_team,year,overall,round,pick,name,position,height,weight,season_before_draft,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,RAS,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Memphis,American Athletic,Washington,2020,66,3,2,Antonio Gibson,Wide Receiver,72,228,2019,38,735,8,19.3,13,12,1,1,0,1,9.29,4.39,16,35,118,NA,NA,Y
Kentucky,SEC,Las Vegas,2020,80,3,16,Lynn Bowden Jr.,Wide Receiver,71,204,2019,30,348,1,11.6,12,7,5,1,1,0,NA,NA,13,NA,NA,NA,NA,Y
South Carolina,SEC,Las Vegas,2020,81,3,17,Bryan Edwards,Wide Receiver,75,212,2019,71,816,6,11.5,12,4,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,Y
Texas,Big 12,Baltimore,2020,92,3,28,Devin Duvernay,Wide Receiver,71,200,2019,106,1386,9,13.1,12,7,5,1,1,0,7.86,4.39,NA,35.5,123,7.13,4.2,Y
UCF,American Athletic,Buffalo,2020,128,4,22,Gabriel Davis,Wide Receiver,74,216,2019,72,1241,12,17.2,12,9,3,1,1,0,6.85,4.54,14,35,124,7.08,4.59,Y
Liberty,FBS Independents,Washington,2020,142,4,36,Antonio Gandy-Golden,Wide Receiver,76,223,2019,79,1396,10,17.7,12,7,5,1,1,0,6.13,4.6,22,36,127,7.33,4.55,Y
Virginia,ACC,Los Angeles,2020,151,5,5,Joe Reed,Wide Receiver,73,224,2019,77,679,7,8.8,13,9,4,1,0,1,9.35,4.47,21,38,123,NA,NA,Y
Minnesota,Big Ten,Tampa Bay,2020,161,5,16,Tyler Johnson,Wide Receiver,73,206,2019,86,1318,13,15.3,12,10,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,Y
Texas,Big 12,Jacksonville,2020,165,5,20,Collin Johnson,Wide Receiver,78,222,2019,38,559,3,14.7,12,7,5,1,1,0,NA,NA,17,NA,NA,NA,NA,Y
Wisconsin,Big Ten,Detroit,2020,166,5,21,Quintez Cephus,Wide Receiver,73,202,2019,59,901,7,15.3,13,10,3,1,0,1,4.5,4.73,23,38.5,124,7.2,4.33,Y
Boise State,Mountain West,Philadelphia,2020,168,5,23,John Hightower,Wide Receiver,74,189,2019,51,943,8,18.5,13,12,1,1,0,1,8.02,4.43,NA,38.5,122,7.07,4.21,Y
Rhode Island,CAA,Houston,2020,171,5,26,Isaiah Coulter,Wide Receiver,74,198,2019,11,205,1,18.6,12,2,10,0,0,0,6.68,4.45,NA,36,121,7.28,4.62,Y
Tulane,American Athletic,Chicago,2020,173,5,28,Darnell Mooney,Wide Receiver,70,176,2019,48,713,5,14.9,12,6,6,1,1,0,7.04,4.38,9,37,124,NA,NA,Y
Miami,ACC,Minnesota,2020,176,5,31,K.J. Osborn,Wide Receiver,72,203,2019,50,547,5,10.9,12,6,6,1,0,1,8,4.48,18,37.5,123,7,4.35,Y
Michigan,Big Ten,Cleveland,2020,187,6,8,Donovan Peoples-Jones,Wide Receiver,74,212,2019,34,438,6,12.9,12,9,3,1,0,1,9.63,4.48,NA,44.5,139,NA,NA,Y
Southern Miss,Conference USA,Philadelphia,2020,200,6,21,Quez Watkins,Wide Receiver,72,185,2019,64,1178,6,18.4,12,7,5,1,0,1,7.4,4.35,NA,36.5,125,7.28,4.36,Y
SMU,American Athletic,Baltimore,2020,201,6,22,James Proche,Wide Receiver,71,201,2019,111,1225,15,11,12,10,2,1,0,1,4.04,NA,20,34.5,NA,7.27,4.4,Y
Oregon State,Pac-12,Buffalo,2020,207,6,28,Isaiah Hodgins,Wide Receiver,76,210,2019,86,1171,13,13.6,12,5,7,0,0,0,7.56,4.61,9,36.5,124,7.01,4.12,Y
Washington State,Pac-12,Indianapolis,2020,212,6,33,Dezmon Patmon,Wide Receiver,76,225,2019,58,762,8,13.1,12,6,6,1,0,1,8.46,4.48,15,36,132,7.28,4.38,Y
Florida,SEC,Seattle,2020,214,6,36,Freddie Swain,Wide Receiver,72,197,2019,38,517,7,13.6,12,10,2,1,1,0,8.29,4.46,16,36.5,124,7.05,4.26,Y
Tennessee,SEC,San Francisco,2020,217,7,3,Jauan Jennings,Wide Receiver,75,215,2019,59,969,8,16.4,12,7,5,1,1,0,2.7,4.72,NA,29,119,NA,NA,Y
Ohio State,Big Ten,Los Angeles,2020,220,7,6,K.J. Hill,Wide Receiver,72,196,2019,57,636,10,11.2,13,13,0,1,0,1,3.89,4.6,17,32.5,114,NA,NA,Y
Navy,American Athletic,Miami,2020,246,7,32,Malcolm Perry,Wide Receiver,69,186,2019,NA,NA,NA,NA,12,10,2,1,1,0,1.88,4.63,10,36,122,7.12,4.31,Y
Florida,SEC,Denver,2020,252,7,38,Tyrie Cleveland,Wide Receiver,74,209,2019,25,351,1,14,12,10,2,1,1,0,9.65,4.46,13,39.5,126,NA,NA,Y
Alabama,SEC,Miami,2021,6,1,6,Jaylen Waddle,Wide Receiver,70,180,2020,28,591,4,21.1,11,11,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,N
Alabama,SEC,Philadelphia,2021,10,1,10,DeVonta Smith,Wide Receiver,72,170,2020,117,1856,23,15.9,11,11,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,N
Florida,SEC,New York,2021,20,1,20,Kadarius Toney,Wide Receiver,72,193,2020,70,984,10,14.1,11,8,3,1,0,1,8.99,4.39,9,39.5,136,6.88,4.25,Y
Minnesota,Big Ten,Baltimore,2021,27,1,27,Rashod Bateman,Wide Receiver,72,190,2020,36,472,2,13.1,7,3,4,0,0,0,8.04,4.39,NA,36,123,NA,NA,Y
Ole Miss,SEC,New York,2021,34,2,2,Elijah Moore,Wide Receiver,70,178,2020,86,1193,8,13.9,9,4,5,1,1,0,8.69,4.35,17,36,121,6.63,4.07,Y
Purdue,Big Ten,Arizona,2021,49,2,17,Rondale Moore,Wide Receiver,67,181,2020,35,270,0,7.7,6,2,4,0,0,0,9.33,4.28,NA,42.5,NA,6.65,4.06,Y
Western Michigan,Mid-American,Seattle,2021,56,2,24,D'Wayne Eskridge,Wide Receiver,69,190,2020,33,768,8,23.3,6,4,2,0,0,0,6.71,4.38,NA,35,124,6.93,4.22,Y
Louisville,ACC,Los Angeles,2021,57,2,25,Tutu Atwell,Wide Receiver,69,155,2020,46,625,7,13.6,11,4,7,0,0,0,6.25,4.42,NA,33,117,6.89,4.14,Y
LSU,SEC,Carolina,2021,59,2,27,Terrace Marshall Jr.,Wide Receiver,75,205,2020,48,731,10,15.2,10,5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,N
Tennessee,SEC,Los Angeles,2021,77,3,14,Josh Palmer,Wide Receiver,73,210,2020,33,475,4,14.4,10,3,7,0,0,0,7.59,NA,NA,NA,NA,NA,NA,N
North Carolina,ACC,Washington,2021,82,3,19,Dyami Brown,Wide Receiver,73,189,2020,54,1084,8,20.1,11,8,3,1,0,1,8.38,4.46,18,35,128,6.87,4.35,Y
Clemson,ACC,Green Bay,2021,85,3,22,Amari Rodgers,Wide Receiver,70,212,2020,77,1020,7,13.2,11,10,1,1,0,1,5.35,4.52,19,33,121,7.07,4.31,Y
Auburn,SEC,Cleveland,2021,91,3,28,Anthony Schwartz,Wide Receiver,72,186,2020,54,652,3,12.1,10,6,4,1,0,1,6.89,4.27,NA,32,123,7.13,4.25,Y
Louisville,ACC,Tennessee,2021,109,4,4,Dez Fitzpatrick,Wide Receiver,74,208,2020,43,833,3,19.4,11,4,7,0,0,0,NA,4.43,NA,35,NA,7.09,4.26,Y
USC,Pac-12,Detroit,2021,112,4,7,Amon-Ra St. Brown,Wide Receiver,72,197,2020,41,478,7,11.7,6,5,1,0,0,0,7.13,4.51,20,38.5,127,6.88,4.17,Y
North Texas,Conference USA,Tampa Bay,2021,129,4,24,Jaelon Darden,Wide Receiver,68,174,2020,74,1190,19,16.1,9,4,5,1,0,1,7.14,4.47,NA,35.5,122,6.66,3.98,Y
Oklahoma State,Big 12,Baltimore,2021,131,4,26,Tylan Wallace,Wide Receiver,71,194,2020,59,917,6,15.5,10,7,3,1,1,0,4.71,4.48,11,33,112,6.97,4.25,Y
UCF,American Athletic,Los Angeles,2021,141,4,36,Jacob Harris,Wide Receiver,77,211,2020,30,539,8,18,9,6,3,1,0,1,9.88,NA,NA,NA,NA,NA,NA,N
Iowa,Big Ten,Minnesota,2021,157,5,13,Ihmir Smith-Marsette,Wide Receiver,73,181,2020,25,345,4,13.8,8,6,2,0,0,0,6.81,4.43,NA,37,124,7,4.2,Y
Stanford,Pac-12,Dallas,2021,179,5,35,Simi Fehoko,Wide Receiver,76,222,2020,37,584,3,15.8,6,4,2,0,0,0,9.18,4.44,16,34.5,120,6.78,4.26,Y
Clemson,ACC,Kansas City,2021,181,5,37,Cornell Powell,Wide Receiver,72,204,2020,53,882,7,16.6,11,10,1,1,0,1,7.57,4.53,16,36.5,128,7.03,4.21,Y
Arizona State,Pac-12,Atlanta,2021,187,6,3,Frank Darby,Wide Receiver,72,201,2020,6,46,1,7.7,4,2,2,0,0,0,5.89,4.56,19,34.5,117,7.05,4.25,Y
Houston,American Athletic,Buffalo,2021,203,6,19,Marquez Stevenson,Wide Receiver,70,180,2020,20,307,4,15.4,7,3,4,1,0,1,5.37,4.48,NA,33,122,6.76,4.14,Y
South Carolina,SEC,Carolina,2021,204,6,20,Shi Smith,Wide Receiver,70,186,2020,55,621,4,11.3,10,2,8,0,0,0,6.78,NA,NA,NA,NA,NA,NA,N
LSU,SEC,Tennessee,2021,205,6,21,Racey McMath,Wide Receiver,75,211,2020,14,195,1,13.9,10,5,5,0,0,0,7.43,4.36,NA,34,124,7.38,4.38,Y
Georgia Tech,ACC,Jacksonville,2021,209,6,25,Jalen Camp,Wide Receiver,74,220,2020,25,392,4,15.7,10,3,7,0,0,0,9.75,NA,NA,NA,NA,NA,NA,N
UCLA,Pac-12,Cleveland,2021,211,6,27,Demetric Felton,Wide Receiver,69,189,2020,22,159,3,7.2,7,3,4,0,0,0,0.87,4.55,NA,NA,NA,NA,NA,Y
Auburn,SEC,Denver,2021,219,6,35,Seth Williams,Wide Receiver,75,211,2020,47,744,4,15.8,10,6,4,1,0,1,6.86,4.49,12,37,124,7.2,4.43,Y
North Carolina,ACC,Chicago,2021,221,6,37,Dazz Newsome,Wide Receiver,70,190,2020,54,684,6,12.7,11,8,3,1,0,1,2.13,4.59,12,34,121,7.38,4.38,Y
UCF,American Athletic,New England,2021,242,7,15,Tre Nixon,Wide Receiver,72,187,2020,18,258,2,14.3,9,6,3,1,0,1,8.97,4.44,18,35.5,125,6.81,4.27,Y
Notre Dame,FBS Independents,Los Angeles,2021,249,7,22,Ben Skowronek,Wide Receiver,75,220,2020,29,439,5,15.1,11,10,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,N
South Alabama,Sun Belt,New Orleans,2021,255,7,28,Kawaan Baker,Wide Receiver,73,215,2020,50,656,8,13.1,11,4,7,0,0,0,9.08,NA,NA,NA,NA,NA,NA,N
BYU,FBS Independents,Washington,2021,258,7,31,Dax Milne,Wide Receiver,73,193,2020,70,1189,8,17,11,10,1,1,1,0,4.56,4.54,14,31,114,NA,4.19,Y
USC,Pac-12,Atlanta,2022,8,1,8,Drake London,Wide Receiver,76,219,2021,88,1084,7,12.3,12,4,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,Y
Ohio State,Big Ten,New York,2022,10,1,10,Garrett Wilson,Wide Receiver,72,183,2021,70,1058,12,15.1,12,10,2,1,1,0,7.77,4.38,NA,36,123,NA,4.36,Y
Ohio State,Big Ten,New Orleans,2022,11,1,11,Chris Olave,Wide Receiver,72,187,2021,65,936,13,14.4,12,10,2,1,1,0,8.64,4.39,NA,32,124,NA,NA,Y
Alabama,SEC,Detroit,2022,12,1,12,Jameson Williams,Wide Receiver,74,179,2021,79,1572,15,19.9,13,12,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,Y
Penn State,Big Ten,Washington,2022,16,1,16,Jahan Dotson,Wide Receiver,71,178,2021,91,1182,12,13,12,7,5,1,0,1,6.33,4.43,NA,36,121,7.28,NA,Y
Arkansas,SEC,Tennessee,2022,18,1,18,Treylon Burks,Wide Receiver,74,225,2021,66,1104,11,16.7,12,8,4,1,1,0,5.79,4.55,NA,33,122,7.28,NA,Y
Kentucky,SEC,New York,2022,43,2,11,Wan'Dale Robinson,Wide Receiver,68,178,2021,104,1334,7,12.8,12,9,3,1,1,0,7.36,4.44,NA,34.5,118,NA,NA,Y
Alabama,SEC,Houston,2022,44,2,12,John Metchie III,Wide Receiver,71,187,2021,96,1142,8,11.9,13,12,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,Y
Baylor,Big 12,New England,2022,50,2,18,Tyquan Thornton,Wide Receiver,74,181,2021,62,948,10,15.3,13,11,2,1,1,0,8.54,4.28,NA,36.5,130,NA,NA,Y
Georgia,SEC,Pittsburgh,2022,52,2,20,George Pickens,Wide Receiver,75,195,2021,5,107,0,21.4,13,12,1,2,2,0,9.35,4.47,NA,33,125,NA,NA,Y
Cincinnati,American Athletic,Indianapolis,2022,53,2,21,Alec Pierce,Wide Receiver,75,211,2021,52,884,8,17,13,13,0,1,0,1,9.83,4.41,NA,40.5,129,7.13,4.28,Y
Western Michigan,Mid-American,Kansas City,2022,54,2,22,Skyy Moore,Wide Receiver,70,195,2021,95,1292,10,13.6,12,7,5,1,1,0,7.58,4.41,NA,34.5,125,7.13,4.32,Y
Tennessee,SEC,Chicago,2022,71,3,7,Velus Jones Jr.,Wide Receiver,72,204,2021,62,807,7,13,12,7,5,1,0,1,7.1,4.31,NA,33,121,NA,NA,Y
South Alabama,Sun Belt,Dallas,2022,88,3,24,Jalen Tolbert,Wide Receiver,73,194,2021,82,1474,8,18,12,5,7,0,0,0,8.62,4.49,NA,36,123,7.08,NA,Y
Purdue,Big Ten,Cleveland,2022,99,3,35,David Bell,Wide Receiver,73,212,2021,93,1286,6,13.8,12,8,4,1,1,0,3.98,4.65,NA,33,118,7.14,4.57,Y
SMU,American Athletic,San Francisco,2022,105,3,41,Danny Gray,Wide Receiver,72,186,2021,49,803,9,16.4,12,8,4,0,0,0,6.76,4.33,NA,34,126,NA,NA,Y
Texas Tech,Big 12,Miami,2022,125,4,20,Erik Ezukanma,Wide Receiver,74,209,2021,48,705,4,14.7,12,6,6,1,1,0,7.03,NA,NA,36.5,126,NA,4.38,Y
Nevada,Mountain West,Green Bay,2022,132,4,27,Romeo Doubs,Wide Receiver,74,201,2021,80,1109,11,13.9,12,8,4,1,0,1,NA,NA,NA,NA,NA,NA,NA,Y
Memphis,American Athletic,Pittsburgh,2022,138,4,33,Calvin Austin III,Wide Receiver,68,170,2021,74,1149,8,15.5,12,6,6,0,0,0,9.05,4.32,NA,39,135,6.65,4.07,Y
Boise State,Mountain West,Buffalo,2022,148,5,5,Khalil Shakir,Wide Receiver,72,196,2021,77,1117,7,14.5,12,7,5,0,0,0,8.31,4.43,NA,34.5,124,7.28,4.21,Y
Samford,Southern,Denver,2022,162,5,19,Montrell Washington,Wide Receiver,70,170,2021,10,124,1,12.4,11,4,7,0,0,0,4.32,NA,NA,NA,NA,NA,NA,N
UCLA,Pac-12,Tennessee,2022,163,5,20,Kyle Philips,Wide Receiver,71,189,2021,59,739,10,12.5,12,8,4,0,0,0,8.31,4.58,NA,33.5,124,NA,NA,Y
Michigan State,Big Ten,Minnesota,2022,191,6,12,Jalen Nailor,Wide Receiver,71,186,2021,37,695,6,18.8,12,10,2,1,1,0,8.09,4.5,NA,38,128,7.03,4.28,Y
Oklahoma,Big 12,Cleveland,2022,202,6,24,Michael Woods II,Wide Receiver,73,198,2021,35,400,2,11.4,12,10,2,1,1,0,NA,4.55,NA,34.5,125,NA,NA,Y
Rutgers,Big Ten,Seattle,2022,229,7,8,Bo Melton,Wide Receiver,71,189,2021,55,618,3,11.2,12,5,7,1,0,1,9.23,4.34,NA,38,121,6.98,NA,Y
Nebraska,Big Ten,Green Bay,2022,258,7,37,Samori Toure,Wide Receiver,75,190,2021,46,898,5,19.5,12,3,9,0,0,0,6.14,NA,NA,NA,NA,NA,NA,N
Ohio State,Big Ten,Seattle,2023,20,1,20,Jaxon Smith-Njigba,Wide Receiver,73,196,2022,5,43,0,8.6,12,11,1,1,0,1,8.34,NA,NA,35,125,6.57,3.93,Y
TCU,Big 12,Los Angeles,2023,21,1,22,Quentin Johnston,Wide Receiver,75,208,2022,60,1069,6,17.8,13,12,1,2,1,1,8.68,NA,NA,40.5,134,NA,NA,Y
Boston College,ACC,Baltimore,2023,22,1,23,Zay Flowers,Wide Receiver,69,182,2022,78,1077,12,13.8,12,3,9,0,0,0,8.29,4.42,NA,35.5,127,NA,NA,Y
USC,Pac-12,Minnesota,2023,23,1,24,Jordan Addison,Wide Receiver,71,173,2022,59,875,8,14.8,13,11,2,1,0,1,5.94,4.49,NA,34,122,NA,NA,Y
Ole Miss,SEC,Carolina,2023,39,2,8,Jonathan Mingo,Wide Receiver,74,220,2022,51,862,5,16.9,12,8,4,1,0,1,9.87,4.46,22,39.5,129,NA,NA,Y
Michigan State,Big Ten,Green Bay,2023,50,2,19,Jayden Reed,Wide Receiver,71,187,2022,55,636,5,11.6,12,5,7,0,0,0,6.74,4.45,NA,33.5,121,NA,4.29,Y
SMU,American Athletic,Kansas City,2023,55,2,24,Rashee Rice,Wide Receiver,73,204,2022,96,1355,10,14.1,12,7,5,1,0,1,9.53,4.51,NA,41,128,NA,NA,Y
Oklahoma,Big 12,Denver,2023,63,2,32,Marvin Mims,Wide Receiver,71,183,2022,54,1083,6,20.1,12,6,6,1,0,1,NA,4.38,NA,39.5,129,6.9,NA,Y
Houston,American Athletic,Houston,2023,69,3,6,Nathaniel Dell,Wide Receiver,68,165,2022,109,1398,17,12.8,12,7,5,1,1,0,5.82,4.49,NA,NA,121,NA,NA,Y
Tennessee,SEC,New York,2023,73,3,10,Jalin Hyatt,Wide Receiver,72,176,2022,67,1267,15,18.9,12,10,2,1,1,0,8.76,4.4,NA,40,135,NA,NA,Y
Tennessee,SEC,Cleveland,2023,74,3,11,Cedric Tillman,Wide Receiver,75,213,2022,37,417,3,11.3,12,10,2,1,1,0,8.67,4.54,NA,37,128,NA,NA,Y
North Carolina,ACC,Indianapolis,2023,79,3,16,Josh Downs,Wide Receiver,69,171,2022,94,1029,11,10.9,13,9,4,1,0,1,8.99,4.48,NA,38.5,131,NA,NA,Y
Stanford,Pac-12,Arizona,2023,94,3,31,Michael Wilson,Wide Receiver,74,213,2022,26,418,4,16.1,12,3,9,0,0,0,9.55,4.58,23,37.5,125,NA,4.27,Y
Cincinnati,American Athletic,Las Vegas,2023,100,3,37,Tre Tucker,Wide Receiver,69,182,2022,52,672,3,12.9,12,9,3,1,0,1,7.16,4.4,NA,37.5,124,NA,NA,Y
TCU,Big 12,Los Angeles,2023,125,4,23,Derius Davis,Wide Receiver,68,165,2022,42,531,5,12.6,13,12,1,2,1,1,4.29,4.36,NA,NA,NA,NA,4.38,Y
Purdue,Big Ten,Cincinnati,2023,131,4,29,Charlie Jones,Wide Receiver,71,175,2022,110,1361,12,12.4,13,8,5,1,0,1,NA,4.43,13,36.5,124,NA,NA,Y
Cincinnati,American Athletic,Chicago,2023,133,4,31,Tyler Scott,Wide Receiver,70,177,2022,55,899,9,16.3,12,9,3,1,0,1,8.61,4.44,NA,39.5,133,NA,NA,Y
Florida,SEC,Buffalo,2023,150,5,16,Justin Shorter,Wide Receiver,76,229,2022,29,577,2,19.9,12,6,6,1,0,1,7.94,4.55,18,35.5,126,NA,NA,Y
Virginia,ACC,Green Bay,2023,159,5,25,Dontayvion Wicks,Wide Receiver,73,206,2022,30,430,2,14.3,10,3,7,0,0,0,9.17,4.62,NA,39,130,NA,NA,Y
BYU,FBS Independents,Los Angeles,2023,177,5,43,Puka Nacua,Wide Receiver,74,201,2022,48,625,5,13,12,7,5,1,1,0,5.18,NA,NA,NA,NA,NA,NA,Y
Penn State,Big Ten,Jacksonville,2023,185,6,8,Parker Washington,Wide Receiver,70,204,2022,46,611,2,13.3,12,10,2,1,1,0,NA,NA,16,NA,NA,NA,NA,Y
LSU,SEC,New England,2023,187,6,10,Kayshon Boutte,Wide Receiver,71,195,2022,48,538,2,11.2,13,9,4,1,1,0,4.99,4.5,NA,29,118,NA,4.25,Y
Nebraska,Big Ten,Tampa Bay,2023,191,6,14,Trey Palmer,Wide Receiver,72,192,2022,71,1043,9,14.7,12,4,8,0,0,0,6.18,4.33,NA,NA,NA,NA,NA,Y
Wake Forest,ACC,New Orleans,2023,195,6,18,A.T. Perry,Wide Receiver,76,198,2022,81,1096,11,13.5,12,7,5,1,1,0,9.62,4.47,NA,35,133,NA,NA,Y
Stanford,Pac-12,Miami,2023,197,6,20,Elijah Higgins,Wide Receiver,75,235,2022,59,704,2,11.9,12,3,9,0,0,0,8.94,4.54,NA,35,126,7.01,NA,Y
Iowa State,Big 12,Houston,2023,205,6,28,Xavier Hutchinson,Wide Receiver,74,203,2022,107,1171,6,10.9,12,4,8,0,0,0,7.27,4.53,NA,36,116,6.91,4.35,Y
Princeton,Ivy,Cincinnati,2023,206,6,29,Andrei Iosivas,Wide Receiver,75,205,2022,66,943,7,14.3,10,8,2,0,0,0,9.96,NA,NA,NA,NA,NA,NA,N
Liberty,FBS Independents,New England,2023,210,6,33,Demario Douglas,Wide Receiver,68,179,2022,78,993,6,12.7,12,8,4,1,0,1,7.34,NA,NA,NA,NA,NA,NA,N
North Carolina,ACC,Detroit,2023,219,7,2,Antoine Green,Wide Receiver,74,199,2022,43,798,7,18.6,13,9,4,1,0,1,8.68,4.47,NA,33.5,123,6.99,4.27,Y
UT Martin,OVC,Tennessee,2023,228,7,11,Colton Dowell,Wide Receiver,NA,NA,2022,67,1032,6,15.4,11,7,4,0,0,0,9.78,NA,NA,NA,NA,NA,NA,N
South Carolina,SEC,Dallas,2023,244,7,27,Jalen Brooks,Wide Receiver,74,205,2022,33,504,1,15.3,12,8,4,1,0,1,5.6,4.69,NA,35,130,7.15,4.31,Y
Michigan,Big Ten,San Francisco,2023,253,7,36,Ronnie Bell,Wide Receiver,72,191,2022,62,889,4,14.3,13,13,0,1,0,1,8.2,4.54,14,38.5,120,6.98,4.15,Y
Charlotte,Conference USA,Green Bay,2023,256,7,39,Grant DuBose,Wide Receiver,74,201,2022,64,792,9,12.4,12,3,9,0,0,0,8.79,NA,NA,NA,NA,NA,NA,N
Ohio State,Big Ten,Arizona,2024,4,1,4,Marvin Harrison Jr.,Wide Receiver,75,209,2023,67,1211,14,18.1,12,11,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,Y
LSU,SEC,New York,2024,6,1,6,Malik Nabers,Wide Receiver,72,199,2023,89,1569,14,17.6,12,9,3,1,1,0,9.67,NA,NA,NA,NA,NA,NA,Y
Washington,Pac-12,Chicago,2024,9,1,9,Rome Odunze,Wide Receiver,75,212,2023,92,1640,13,17.8,13,13,0,2,1,1,9.92,4.45,NA,39,124,6.88,4.03,Y
LSU,SEC,Jacksonville,2024,23,1,23,Brian Thomas Jr.,Wide Receiver,75,209,2023,68,1177,17,17.3,12,9,3,1,1,0,9.84,4.33,11,38.5,126,NA,NA,Y
Texas,Big 12,Kansas City,2024,28,1,28,Xavier Worthy,Wide Receiver,71,165,2023,75,1014,5,13.5,13,12,1,1,0,1,9.41,4.21,NA,41,131,NA,NA,Y
Florida,SEC,San Francisco,2024,31,1,31,Ricky Pearsall,Wide Receiver,73,189,2023,64,970,4,15.2,12,5,7,0,0,0,9.91,4.41,17,42,129,6.64,4.05,Y
South Carolina,SEC,Carolina,2024,32,1,32,Xavier Legette,Wide Receiver,73,221,2023,71,1255,7,17.7,12,5,7,0,0,0,9.9,4.39,NA,40,126,NA,NA,Y
Florida State,ACC,Buffalo,2024,33,2,1,Keon Coleman,Wide Receiver,75,213,2023,50,658,11,13.2,13,13,0,1,0,1,8.18,4.61,NA,38,127,NA,NA,Y
Georgia,SEC,Los Angeles,2024,34,2,2,Ladd McConkey,Wide Receiver,72,186,2023,30,478,2,15.9,13,12,1,1,1,0,9.34,4.39,13,36,124,NA,NA,Y
Washington,Pac-12,New England,2024,37,2,5,Ja'Lynn Polk,Wide Receiver,73,203,2023,69,1159,9,16.8,13,13,0,2,1,1,8.85,4.52,NA,37.5,129,NA,NA,Y
Texas,Big 12,Indianapolis,2024,52,2,20,Adonai Mitchell,Wide Receiver,74,205,2023,55,845,11,15.4,13,12,1,1,0,1,9.99,4.34,NA,39.5,136,NA,NA,Y
Western Kentucky,Conference USA,New York,2024,65,3,1,Malachi Corley,Wide Receiver,71,207,2023,79,984,11,12.5,12,7,5,1,1,0,7.76,NA,NA,NA,NA,NA,NA,Y
Alabama,SEC,Cincinnati,2024,80,3,16,Jermaine Burton,Wide Receiver,72,196,2023,39,798,8,20.5,13,12,1,1,0,1,9.09,4.45,NA,38.5,133,NA,NA,Y
Michigan,Big Ten,Pittsburgh,2024,84,3,20,Roman Wilson,Wide Receiver,71,185,2023,48,789,12,16.4,13,13,0,2,2,0,8.59,4.39,12,NA,NA,NA,NA,Y
Washington,Pac-12,Tampa Bay,2024,92,3,29,Jalen McMillan,Wide Receiver,73,197,2023,45,559,5,12.4,13,13,0,2,1,1,8.67,4.47,NA,37,127,6.94,4.18,Y
Rice,American Athletic,Washington,2024,100,3,37,Luke McCaffrey,Wide Receiver,74,198,2023,71,992,13,14,12,6,6,1,0,1,9.44,4.46,NA,36,121,6.7,4.02,Y
Oregon,Pac-12,Denver,2024,102,4,2,Troy Franklin,Wide Receiver,74,176,2023,81,1383,14,17.1,13,11,2,1,1,0,9.02,4.41,NA,39,124,6.9,4.31,Y
UCF,Big 12,New England,2024,110,4,10,Javon Baker,Wide Receiver,73,202,2023,52,1139,7,21.9,12,6,6,1,0,1,7.84,4.54,NA,37,121,NA,NA,Y
North Carolina,ACC,Baltimore,2024,113,4,13,Devontez Walker,Wide Receiver,74,193,2023,41,699,7,17,12,8,4,1,0,1,9.76,4.36,NA,40.5,134,NA,NA,Y
Arizona,Pac-12,San Francisco,2024,135,4,35,Jacob Cowing,Wide Receiver,68,168,2023,89,839,13,9.4,12,9,3,1,1,0,6.28,4.38,NA,36,119,7.02,4.32,Y
Oregon State,Pac-12,Indianapolis,2024,142,5,7,Anthony Gould,Wide Receiver,68,174,2023,44,718,2,16.3,12,8,4,1,0,1,8.87,4.39,NA,39.5,129,NA,4.16,Y
Texas A&M,SEC,Philadelphia,2024,152,5,17,Ainias Smith,Wide Receiver,70,200,2023,53,795,2,15,12,7,5,1,0,1,7.36,NA,21,NA,NA,NA,NA,Y
Louisville,ACC,Cleveland,2024,156,5,21,Jamari Thrash,Wide Receiver,72,188,2023,63,858,6,13.6,13,10,3,1,0,1,6.77,4.46,NA,34,120,7.16,NA,Y
Pittsburgh,ACC,New Orleans,2024,170,5,35,Bub Means,Wide Receiver,73,212,2023,41,721,6,17.6,12,3,9,0,0,0,9.35,4.43,19,39.5,122,NA,NA,Y
Tulane,American Athletic,Tennessee,2024,182,6,6,Jha'Quan Jackson,Wide Receiver,69,188,2023,26,439,4,16.9,13,11,2,1,0,1,5.34,4.42,12,32,118,NA,NA,Y
Virginia,ACC,Miami,2024,184,6,8,Malik Washington,Wide Receiver,69,191,2023,110,1426,9,13,12,3,9,0,0,0,8.63,4.47,19,42.5,126,NA,NA,Y
Florida State,ACC,Philadelphia,2024,185,6,9,Johnny Wilson,Wide Receiver,78,231,2023,41,617,2,15,13,13,0,1,0,1,9.7,4.52,NA,37,128,NA,4.11,Y
Illinois,Big Ten,Atlanta,2024,187,6,11,Casey Washington,Wide Receiver,74,200,2023,49,670,4,13.7,12,5,7,0,0,0,7.15,NA,NA,NA,NA,NA,NA,N
